family,sampler,complexity,entropy,experiment,algorithm,samples_seen,excess_evaluation_nll
gaussian,matched,M1,High entropy,0,SGD,0,0.010327866729190838
gaussian,matched,M1,High entropy,0,SGD,1000,0.00914240542560707
gaussian,matched,M1,High entropy,0,SGD,2000,0.0077501535531041554
gaussian,matched,M1,High entropy,0,SGD,3000,0.007144489569928858
gaussian,matched,M1,High entropy,0,SGD,4000,0.0065374179394313
gaussian,matched,M1,High entropy,0,SGD,5000,0.0067734035932556225
gaussian,matched,M1,High entropy,0,SGD,6000,0.0067377341929946155
gaussian,matched,M1,High entropy,0,SGD,7000,0.00589883588506579
gaussian,matched,M1,High entropy,0,SGD,8000,0.005234311256609558
gaussian,matched,M1,High entropy,0,SGD,9000,0.004941414758541818
gaussian,matched,M1,High entropy,0,SGD,10000,0.004885207476283071
gaussian,matched,M1,High entropy,0,SGD,11000,0.0048283937448703185
gaussian,matched,M1,High entropy,0,SGD,12000,0.004807602342644657
gaussian,matched,M1,High entropy,0,SGD,13000,0.004724617851206592
gaussian,matched,M1,High entropy,0,SGD,14000,0.004545201390499631
gaussian,matched,M1,High entropy,0,SGD,15000,0.0045720835897617995
gaussian,matched,M1,High entropy,0,SGD,16000,0.0039292583921266555
gaussian,matched,M1,High entropy,0,SGD,17000,0.0038396328092349385
gaussian,matched,M1,High entropy,0,SGD,18000,0.0038267532017624006
gaussian,matched,M1,High entropy,0,SGD,19000,0.0035674463984451954
gaussian,matched,M1,High entropy,0,SGD,20000,0.0033369114587080695
gaussian,matched,M1,High entropy,0,SGD,21000,0.0035015980158514814
gaussian,matched,M1,High entropy,0,SGD,22000,0.003156035241186572
gaussian,matched,M1,High entropy,0,SGD,23000,0.003222670640601333
gaussian,matched,M1,High entropy,0,SGD,24000,0.003135522401219948
gaussian,matched,M1,High entropy,0,SGD,25000,0.0037357838635574403
gaussian,matched,M1,High entropy,0,SGD,26000,0.00404820081203594
gaussian,matched,M1,High entropy,0,SGD,27000,0.0038239617651387725
gaussian,matched,M1,High entropy,0,SGD,28000,0.003873487818553123
gaussian,matched,M1,High entropy,0,SGD,29000,0.0037534153970884
gaussian,matched,M1,High entropy,0,SGD,30000,0.003331570341860157
gaussian,matched,M1,High entropy,0,SGD,31000,0.0032837200384872034
gaussian,matched,M1,High entropy,0,SGD,32000,0.003583933456941857
gaussian,matched,M1,High entropy,0,SGD,33000,0.0029538221052169966
gaussian,matched,M1,High entropy,0,SGD,34000,0.0032981792525852427
gaussian,matched,M1,High entropy,0,SGD,35000,0.0033042712300481725
gaussian,matched,M1,High entropy,0,SGD,36000,0.003386798952089265
gaussian,matched,M1,High entropy,0,SGD,37000,0.0032224333364512248
gaussian,matched,M1,High entropy,0,SGD,38000,0.003197830112041
gaussian,matched,M1,High entropy,0,SGD,39000,0.0029006171436765094
gaussian,matched,M1,High entropy,0,SGD,40000,0.0029531209531530322
gaussian,matched,M1,High entropy,0,SGD,41000,0.0025942764268496177
gaussian,matched,M1,High entropy,0,SGD,42000,0.002883372350144242
gaussian,matched,M1,High entropy,0,SGD,43000,0.003034615100036664
gaussian,matched,M1,High entropy,0,SGD,44000,0.0028546728694225365
gaussian,matched,M1,High entropy,0,SGD,45000,0.002694252450061274
gaussian,matched,M1,High entropy,0,SGD,46000,0.0028291103661124417
gaussian,matched,M1,High entropy,0,SGD,47000,0.0031134939783075133
gaussian,matched,M1,High entropy,0,SGD,48000,0.0031230486664939328
gaussian,matched,M1,High entropy,0,SGD,49000,0.003256868803822144
gaussian,matched,M1,High entropy,0,SGD,50000,0.0031809934422435404
gaussian,matched,M1,High entropy,0,SGD,51000,0.0035125963045374853
gaussian,matched,M1,High entropy,0,SGD,52000,0.0034837757519188273
gaussian,matched,M1,High entropy,0,SGD,53000,0.003524005922287188
gaussian,matched,M1,High entropy,0,SGD,54000,0.003239634228552113
gaussian,matched,M1,High entropy,0,SGD,55000,0.0035614268173156383
gaussian,matched,M1,High entropy,0,SGD,56000,0.003424570205960542
gaussian,matched,M1,High entropy,0,SGD,57000,0.003382418682584376
gaussian,matched,M1,High entropy,0,SGD,58000,0.0032072595282635064
gaussian,matched,M1,High entropy,0,SGD,59000,0.0029209392512714594
gaussian,matched,M1,High entropy,0,SGD,60000,0.00319076695825693
gaussian,matched,M1,High entropy,0,SGD,61000,0.003072823597138008
gaussian,matched,M1,High entropy,0,SGD,62000,0.002997701853340029
gaussian,matched,M1,High entropy,0,SGD,63000,0.0029169688262751237
gaussian,matched,M1,High entropy,0,SGD,64000,0.00305193802399506
gaussian,matched,M1,High entropy,0,SGD,65000,0.0030982035392086438
gaussian,matched,M1,High entropy,0,SGD,66000,0.002602440464193112
gaussian,matched,M1,High entropy,0,SGD,67000,0.002609522372314821
gaussian,matched,M1,High entropy,0,SGD,68000,0.0027596480235900778
gaussian,matched,M1,High entropy,0,SGD,69000,0.0028296788838497733
gaussian,matched,M1,High entropy,0,SGD,70000,0.0031538916825497587
gaussian,matched,M1,High entropy,0,SGD,71000,0.0030428302418856745
gaussian,matched,M1,High entropy,0,SGD,72000,0.002807249153038427
gaussian,matched,M1,High entropy,0,SGD,73000,0.002742042281470791
gaussian,matched,M1,High entropy,0,SGD,74000,0.002365416684865007
gaussian,matched,M1,High entropy,0,SGD,75000,0.0026565770716935333
gaussian,matched,M1,High entropy,0,SGD,76000,0.0029254303031898132
gaussian,matched,M1,High entropy,0,SGD,77000,0.002737980834075504
gaussian,matched,M1,High entropy,0,SGD,78000,0.0025415681236391485
gaussian,matched,M1,High entropy,0,SGD,79000,0.002417942069780743
gaussian,matched,M1,High entropy,0,SGD,80000,0.0025747584307267424
gaussian,matched,M1,High entropy,0,SGD,81000,0.0027285787845805487
gaussian,matched,M1,High entropy,0,SGD,82000,0.002677924908638829
gaussian,matched,M1,High entropy,0,SGD,83000,0.0029263873300640064
gaussian,matched,M1,High entropy,0,SGD,84000,0.002553223846180508
gaussian,matched,M1,High entropy,0,SGD,85000,0.0023837387174068247
gaussian,matched,M1,High entropy,0,SGD,86000,0.0022611017887821383
gaussian,matched,M1,High entropy,0,SGD,87000,0.0020814975837941674
gaussian,matched,M1,High entropy,0,SGD,88000,0.0018021080127605948
gaussian,matched,M1,High entropy,0,SGD,89000,0.0017379049147119296
gaussian,matched,M1,High entropy,0,SGD,90000,0.002019823580096336
gaussian,matched,M1,High entropy,0,SGD,91000,0.002347937380847487
gaussian,matched,M1,High entropy,0,SGD,92000,0.0022617406725489175
gaussian,matched,M1,High entropy,0,SGD,93000,0.0019728280887867378
gaussian,matched,M1,High entropy,0,SGD,94000,0.0020212768989944507
gaussian,matched,M1,High entropy,0,SGD,95000,0.0019919180222482957
gaussian,matched,M1,High entropy,0,SGD,96000,0.001778209338687109
gaussian,matched,M1,High entropy,0,SGD,97000,0.0019570753416457976
