family,sampler,complexity,entropy,experiment,algorithm,learning_rate_0,learning_rate_1,final_excess_nll
gaussian,matched,M1,High entropy,0,SGD,0.001,0.001,0.0020875749321409565
gaussian,matched,M1,High entropy,0,AdaGrad,0.01,,0.0012063974993208326
gaussian,matched,M1,High entropy,0,DSNGD,0.0001,0.001,0.002127230607979591
gaussian,matched,M1,Medium entropy,0,SGD,0.01,0.1,0.00268529480487123
gaussian,matched,M1,Medium entropy,0,AdaGrad,0.1,,0.006286900511962568
gaussian,matched,M1,Medium entropy,0,DSNGD,0.001,0.1,0.0011900844811298938
gaussian,matched,M1,Low entropy,0,SGD,0.01,0.1,0.00654509146976201
gaussian,matched,M1,Low entropy,0,AdaGrad,0.1,,0.004570987756330691
gaussian,matched,M1,Low entropy,0,DSNGD,0.001,0.1,0.0007563054804533564
gaussian,matched,M2,High entropy,0,SGD,0.001,0.1,0.00414164313898846
gaussian,matched,M2,High entropy,0,AdaGrad,0.001,,0.006312105695325254
gaussian,matched,M2,High entropy,0,DSNGD,0.0001,0.1,0.003150810457777542
gaussian,matched,M2,Medium entropy,0,SGD,0.01,0.1,0.006865673859460131
gaussian,matched,M2,Medium entropy,0,AdaGrad,0.1,,0.008881483972970283
gaussian,matched,M2,Medium entropy,0,DSNGD,0.001,0.1,0.0034697371277641054
gaussian,matched,M2,Low entropy,0,SGD,0.01,0.1,0.016706873435131442
gaussian,matched,M2,Low entropy,0,AdaGrad,0.1,,0.011778066252148278
gaussian,matched,M2,Low entropy,0,DSNGD,0.001,0.1,0.0038826439169672433
gaussian,matched,M3,High entropy,0,SGD,0.001,0.1,0.007004359175319497
gaussian,matched,M3,High entropy,0,AdaGrad,0.001,,0.008889053725259721
gaussian,matched,M3,High entropy,0,DSNGD,0.0001,1.0,0.009455309969327086
gaussian,matched,M3,Medium entropy,0,SGD,0.01,0.1,0.014618459141133133
gaussian,matched,M3,Medium entropy,0,AdaGrad,0.1,,0.023958787825769434
gaussian,matched,M3,Medium entropy,0,DSNGD,0.001,0.1,0.009472164889930745
gaussian,matched,M3,Low entropy,0,SGD,0.01,0.01,0.023592347653790036
gaussian,matched,M3,Low entropy,0,AdaGrad,0.1,,0.024141121260164766
gaussian,matched,M3,Low entropy,0,DSNGD,0.001,0.1,0.008331585648622575
