samples_seen,SGD,DSNGD
0.000000000000000000e+00,1.098612288668110226e+00,1.098612288668110226e+00
5.000000000000000000e+01,5.363819877750938270e-01,4.591639129580384338e-01
1.000000000000000000e+02,4.855483382576736839e-01,4.325576845612683630e-01
1.500000000000000000e+02,5.163500316976081805e-01,4.275927609061744294e-01
2.000000000000000000e+02,4.926003435105613115e-01,4.256658298836393794e-01
2.500000000000000000e+02,4.905152419384518625e-01,4.181243938027545126e-01
3.000000000000000000e+02,4.572071321616620887e-01,4.073360517170251383e-01
3.500000000000000000e+02,4.613281744908435678e-01,4.093260689903748806e-01
4.000000000000000000e+02,4.413883407925709990e-01,4.004362281015877989e-01
4.500000000000000000e+02,4.313083143251524865e-01,3.968190649903064471e-01
5.000000000000000000e+02,4.349602135611908005e-01,3.986201564156326427e-01
5.500000000000000000e+02,4.358471695456725414e-01,3.971886541063787135e-01
6.000000000000000000e+02,4.445510649223881616e-01,3.987853372371745198e-01
6.500000000000000000e+02,4.247586540289002843e-01,3.930590053270658357e-01
7.000000000000000000e+02,4.186771562537424107e-01,3.946001515616315847e-01
7.500000000000000000e+02,4.124216884830369523e-01,3.918262913638870248e-01
8.000000000000000000e+02,4.124378084908139619e-01,3.897896107499088103e-01
8.500000000000000000e+02,4.122256099497066950e-01,3.893057656737090033e-01
9.000000000000000000e+02,4.188302270198591137e-01,3.890015940537878136e-01
9.500000000000000000e+02,4.162435436140008438e-01,3.898032622565366645e-01
1.000000000000000000e+03,4.095771245679392103e-01,3.884849589688115223e-01
1.050000000000000000e+03,4.148102601083599739e-01,3.885915368522895319e-01
1.100000000000000000e+03,4.094160740470453863e-01,3.891839282227318453e-01
1.150000000000000000e+03,4.134055451682633886e-01,3.892180048984109630e-01
1.200000000000000000e+03,4.170885085735212550e-01,3.884868562323645080e-01
1.250000000000000000e+03,4.210293143360039347e-01,3.880515864297880424e-01
1.300000000000000000e+03,4.114108121205427016e-01,3.881018631693434751e-01
1.350000000000000000e+03,4.146011853774383416e-01,3.880831010911544032e-01
1.400000000000000000e+03,4.133136582947906645e-01,3.878389763799051648e-01
1.450000000000000000e+03,4.064234675509876271e-01,3.878007126895098300e-01
1.500000000000000000e+03,4.088366224162673368e-01,3.890863732122604168e-01
1.550000000000000000e+03,4.106715216926368206e-01,3.902575167247809285e-01
1.600000000000000000e+03,4.089351647316094018e-01,3.895023091249377734e-01
1.650000000000000000e+03,4.104540266535065540e-01,3.883655443090551773e-01
1.700000000000000000e+03,4.112523876740280526e-01,3.894531390907526314e-01
1.750000000000000000e+03,4.091406481118541327e-01,3.890664384922268293e-01
1.800000000000000000e+03,4.070598262953740720e-01,3.879119926803720197e-01
1.850000000000000000e+03,4.085918343330708913e-01,3.880433794486496946e-01
1.900000000000000000e+03,4.083715971143613843e-01,3.880239995962606603e-01
1.950000000000000000e+03,4.083770015086900518e-01,3.873832778972978175e-01
2.000000000000000000e+03,4.030969135849811757e-01,3.868411172317738345e-01
2.050000000000000000e+03,4.066127065420919173e-01,3.867035604004377958e-01
2.100000000000000000e+03,4.049214032650559347e-01,3.865753450758278587e-01
2.150000000000000000e+03,4.027214800464717914e-01,3.866440690610426500e-01
2.200000000000000000e+03,4.037523047069256354e-01,3.866816505214230593e-01
2.250000000000000000e+03,4.036018095146922113e-01,3.866531265027680631e-01
2.300000000000000000e+03,4.055073031820274898e-01,3.868863455216528524e-01
2.350000000000000000e+03,4.049559154489542623e-01,3.870019801679671634e-01
2.400000000000000000e+03,4.040658340699039286e-01,3.867916099316557887e-01
2.450000000000000000e+03,4.052783592098102017e-01,3.871466273615187803e-01
2.500000000000000000e+03,4.022263775808696540e-01,3.872452724277801739e-01
2.550000000000000000e+03,4.026219146228069423e-01,3.871272008422136923e-01
2.600000000000000000e+03,4.025318219324307001e-01,3.874232132566555187e-01
2.650000000000000000e+03,4.012692912361037756e-01,3.880773086940725314e-01
2.700000000000000000e+03,3.996501902288435715e-01,3.876721592182648113e-01
2.750000000000000000e+03,3.999540008662186841e-01,3.876296293326423892e-01
2.800000000000000000e+03,3.995172724211065729e-01,3.876252251996696874e-01
2.850000000000000000e+03,3.987517067725679931e-01,3.871512097894640458e-01
2.900000000000000000e+03,3.992440796165213635e-01,3.871490869646761479e-01
2.950000000000000000e+03,3.978318275117245784e-01,3.868521451083334894e-01
3.000000000000000000e+03,3.961247317400667933e-01,3.867866701730920953e-01
